,date,id,prec,tair,tw,tmax,tmin,urmax,patm,pnmm,wd,wsmax,n,cc,evap,ur,ws,name,uf
11320134,1961-02-19 00:00:00,82825,,24.6,24.0,32.3,,95.0,999.5,,36.0,2.0,5.7,10.0,1.2,86.5,1.666667,Porto Velho,RO
11320135,1961-02-19 12:00:00,82825,3.6,24.0,23.4,,20.7,95.0,1001.4,,5.0,1.0,,8.0,,,,Porto Velho,RO
11320136,1961-02-19 18:00:00,82825,,29.1,25.2,,,71.0,997.8,,5.0,3.0,,9.0,,,,Porto Velho,RO
11320137,1961-02-20 00:00:00,82825,,25.2,24.0,31.0,,90.0,998.4,,5.0,1.0,3.4,10.0,1.8,84.0,2.0,Porto Velho,RO
11320138,1961-02-20 12:00:00,82825,0.0,24.4,23.6,,21.6,94.0,1000.2,,5.0,2.0,,10.0,,,,Porto Velho,RO
11320139,1961-02-20 18:00:00,82825,,30.3,25.2,,,64.0,997.2,,32.0,3.0,,10.0,,,,Porto Velho,RO
11320140,1961-02-21 00:00:00,82825,,26.2,24.8,29.1,,89.0,997.0,,23.0,1.0,3.9,7.0,1.4,92.0,4.0,Porto Velho,RO
11320141,1961-02-21 12:00:00,82825,0.0,24.3,23.8,,21.7,96.0,999.9,,5.0,1.0,,10.0,,,,Porto Velho,RO
11320142,1961-02-21 18:00:00,82825,,28.2,25.3,,,78.0,997.4,,23.0,2.0,,10.0,,,,Porto Velho,RO
11320143,1961-02-22 00:00:00,82825,,24.1,23.8,32.0,,97.0,997.5,,32.0,9.0,0.5,10.0,1.6,88.75,2.333333,Porto Velho,RO
11320144,1961-02-22 12:00:00,82825,75.7,23.1,22.9,,20.2,98.0,1000.3,,9.0,1.0,,10.0,,,,Porto Velho,RO
11320145,1961-02-22 18:00:00,82825,,29.1,25.5,,,73.0,997.6,,36.0,5.0,,10.0,,,,Porto Velho,RO
11320146,1961-02-23 00:00:00,82825,,25.0,24.0,30.0,,92.0,997.6,,18.0,1.0,0.8,10.0,1.4,96.75,0.666667,Porto Velho,RO
11320147,1961-02-23 12:00:00,82825,1.6,24.1,23.5,,20.8,95.0,1000.6,,9.0,1.0,,10.0,,,,Porto Velho,RO
11320148,1961-02-23 18:00:00,82825,,24.8,24.2,,,96.0,998.6,,5.0,1.0,,10.0,,,,Porto Velho,RO
11320149,1961-02-24 00:00:00,82825,,22.5,22.3,32.4,,98.0,999.2,,0.0,0.0,2.6,5.0,0.6,88.75,1.333333,Porto Velho,RO
11320150,1961-02-24 12:00:00,82825,22.6,23.0,22.7,,20.1,98.0,1000.2,,0.0,0.0,,10.0,,,,Porto Velho,RO
11320151,1961-02-24 18:00:00,82825,,31.1,26.0,,,65.0,997.1,,23.0,2.0,,9.0,,,,Porto Velho,RO
