,id,lon,lat,alt,name,state,uf,time_zone,offset_utc,time_zone.1,offset_utc.1,shape,scale,vmp,vmaxE,p_vmp,p_vmaxE,w_mean,w_median,mean,median
80,83368,-52.2333333333333,-15.9,345.0,Aragarças,Goiás,GO,America/Sao_Paulo,-3,America/Sao_Paulo,-3,2.063041040448645,0.6885562565063094,0.4992983410904113,0.9563435326331792,1.2717660463431337,0.5928150257497623,0.6099438310663831,0.5764798534372712,0.6084363157383751,0.666667
81,83526,-47.95,-18.1833333333333,840.47,Catalão,Goiás,GO,America/Sao_Paulo,-3,America/Sao_Paulo,-3,2.1775005958749145,1.9635469804519257,1.48055641297638,2.648424758554249,0.46311411144303577,0.23160170820914328,1.7389282877581735,1.6593639217947431,1.7341906543720995,1.666667
82,83379,-47.3333333333333,-15.533333333333301,935.19,Formosa,Goiás,GO,America/Sao_Paulo,-3,America/Sao_Paulo,-3,1.7014515752538115,1.5240185435253102,0.9053521772355236,2.4064737758925294,0.5130208969776576,0.17466169507216464,1.3597182271252988,1.228677911387642,1.3534612853264412,1.2
83,83350,-49.0,-15.216666666666699,650.91,Goianésia,Goiás,GO,America/Sao_Paulo,-3,America/Sao_Paulo,-3,1.5452632619363884,1.107908013586251,0.5645994979350362,1.8962333214920648,0.6786098048339876,0.18852307269522925,0.9967704582679092,0.8739682673982944,0.9943303817980056,0.866667
84,83423,-49.25,-16.6666666666667,741.48,Goiânia,Goiás,GO,America/Sao_Paulo,-3,America/Sao_Paulo,-3,1.864811710089002,1.3428470549885707,0.8893519693841099,1.9849300901818363,0.6115649609739038,0.24508135360921166,1.1923665956897518,1.1032391250627194,1.1870740072321138,1.033333
85,83374,-50.133333333333304,-15.916666666666698,512.22,Goiás,Goiás,GO,America/Sao_Paulo,-3,America/Sao_Paulo,-3,2.17490294813264,2.117120584517156,1.5950715140970158,2.8573358570626985,0.4291527369235693,0.21429968998635096,1.8749318306629368,1.788787012345557,1.877712857948344,2.0
86,83522,-48.1666666666667,-17.716666666666697,772.99,Ipameri,Goiás,GO,America/Sao_Paulo,-3,America/Sao_Paulo,-3,1.967374629217668,1.2244514617018678,0.8535700142313798,1.7489419793887944,0.6931213856252667,0.30195126452822263,1.0855050208162649,1.0163294091016999,1.080905102125589,1.0
87,83464,-51.7166666666667,-17.8833333333333,662.86,Jataí,Goiás,GO,America/Sao_Paulo,-3,America/Sao_Paulo,-3,1.7323516098875782,1.2440613275107206,0.7568303488424266,1.9376086607408596,0.6340494318931886,0.22337214013954543,1.1086526928378957,1.0068349537192072,1.102363901721336,1.0
88,83467,-52.55,-17.5666666666667,800.0,Mineiros,Goiás,GO,America/Sao_Paulo,-3,America/Sao_Paulo,-3,1.4748830225707323,1.5033094295346816,0.6971828703033428,2.6877915824955814,0.4936347708962211,0.122554577945358,1.3599800787120089,1.1725324774085262,1.357072659343696,1.2
89,83376,-48.9666666666667,-15.85,740.0,Pirenópolis,Goiás,GO,America/Sao_Paulo,-3,America/Sao_Paulo,-3,2.059359534819909,2.2451696865793007,1.6257935425256091,3.1215063315311493,0.38955755732164987,0.1811434168884275,1.9888776134224284,1.8791261894023248,1.9862421140871604,1.866667
